# edges.csv — Создано в Map Editor
edge_id,from_node,to_node,transport_type,length_meters,name
1,1,8,car,371,"Первомайская улица"
2,2,486,car,8,"Первомайская улица"
3,2,108,car,13,"Улица Павлова"
4,3,460,car,23,"Улица Павлова"
6,5,431,car,9,"Первомайская улица"
7,4,452,car,121,"Улица Маяковского"
9,6,470,car,12,"Первомайская улица"
10,6,500,car,4,"Первомайская улица"
11,6,109,car,13,"Улица Маяковского"
13,8,1,car,371,"Первомайская улица"
14,8,297,car,238,"Первомайская улица"
15,8,106,car,12,"Улица Жуковского"
16,9,106,car,295,""
17,10,297,car,13,"Первомайская улица"
19,10,104,car,12,"Научный переулок"
20,11,66,car,220,"Научный переулок"
21,11,12,car,180,"Научный переулок"
22,12,11,car,180,"Научный переулок"
28,16,123,car,8,"Первомайская улица"
29,17,27,car,138,"Улица Павлова"
30,17,446,car,6,"Улица Павлова"
33,18,29,car,137,"Улица Маяковского"
34,19,448,car,8,"Советская улица"
35,7,458,car,20,"Советская улица"
36,13,101,car,82,"Институтский переулок"
37,16,101,car,10,"Институтский переулок"
38,16,103,car,14,"Институтский переулок"
39,14,136,car,8,"Институтский переулок"
40,14,321,car,93,"Улица Циолковского"
41,18,421,car,8,"Улица Циолковского"
42,18,437,car,10,"Улица Циолковского"
43,19,466,car,8,"Улица Циолковского"
44,19,494,car,7,"Улица Циолковского"
45,17,480,car,7,"Советская улица"
46,20,319,car,94,"Улица Циолковского"
47,20,443,car,370,"Улица Циолковского"
48,21,270,car,9,"Первомайская улица"
49,21,267,car,7,"Первомайская улица"
50,20,125,car,8,"Советская улица"
51,21,113,car,14,"Советская улица"
52,22,443,car,7,"Улица Циолковского"
53,22,421,car,221,"Улица Циолковского"
57,24,406,car,11,"Первомайская улица"
60,22,26,car,139,"Комсомольская улица"
61,24,111,car,15,"Комсомольская улица"
66,26,111,car,120,"Комсомольская улица"
67,26,22,car,139,"Комсомольская улица"
68,5,427,car,8,"Первомайская улица"
69,24,398,car,7,"Первомайская улица"
70,24,116,car,8,"Комсомольская улица"
71,23,409,car,47,"Комсомольская улица"
72,10,140,car,10,"Первомайская улица"
73,16,132,car,8,"Первомайская улица"
74,27,17,car,138,"Улица Павлова"
75,27,108,car,124,"Улица Павлова"
78,28,19,car,137,"Улица Маяковского"
79,29,110,car,122,"Улица Маяковского"
80,26,423,car,218,"Октябрьская улица"
81,29,423,car,8,"Октябрьская улица"
82,29,435,car,9,"Октябрьская улица"
83,28,464,car,8,"Октябрьская улица"
84,28,496,car,6,"Октябрьская улица"
85,27,482,car,8,"Октябрьская улица"
86,30,31,car,417,"Новый бульвар"
87,31,30,car,417,"Новый бульвар"
88,31,32,car,304,"Новый бульвар"
89,32,31,car,304,"Новый бульвар"
91,33,34,car,131,"Новый бульвар"
92,33,4,car,101,"Новый бульвар"
93,7,33,car,105,"Новый бульвар"
94,34,32,car,221,"Новый бульвар"
95,5,118,car,9,"Улица Маяковского"
96,35,388,car,15,"Улица Маяковского"
97,36,115,car,152,"Дирижабельная улица"
98,37,47,car,327,"Дирижабельная улица"
99,3,47,car,430,"Дирижабельная улица"
100,3,505,car,199,"Дирижабельная улица"
101,7,505,car,8,"Дирижабельная улица"
102,7,4,car,83,"Дирижабельная улица"
103,4,7,car,83,"Дирижабельная улица"
104,4,419,car,8,"Дирижабельная улица"
105,38,419,car,470,"Дирижабельная улица"
106,38,39,car,128,"Проспект Ракетостроителей"
107,39,38,car,128,"Проспект Ракетостроителей"
108,39,40,car,177,"Проспект Ракетостроителей"
109,40,39,car,177,"Проспект Ракетостроителей"
110,40,41,car,77,"Проспект Ракетостроителей"
111,41,40,car,77,"Проспект Ракетостроителей"
112,41,42,car,398,"Проспект Ракетостроителей"
113,42,41,car,398,"Проспект Ракетостроителей"
114,42,43,car,403,"Проспект Ракетостроителей"
115,43,42,car,403,"Проспект Ракетостроителей"
116,43,44,car,166,"Проспект Ракетостроителей"
117,44,43,car,166,"Проспект Ракетостроителей"
118,32,45,car,499,"Улица Академика Лаврентьева"
119,45,32,car,499,"Улица Академика Лаврентьева"
120,45,46,car,166,"Улица Академика Лаврентьева"
121,46,45,car,166,"Улица Академика Лаврентьева"
122,47,3,car,430,"Дирижабельная улица"
123,47,37,car,327,"Дирижабельная улица"
124,46,47,car,187,"Улица Академика Лаврентьева"
125,47,46,car,187,"Улица Академика Лаврентьева"
126,47,457,car,23,"Театральная улица"
127,48,457,car,237,"Театральная улица"
128,48,49,car,222,"Театральная улица"
129,49,48,car,222,"Театральная улица"
130,27,473,car,9,"Октябрьская улица"
131,48,473,car,415,"Октябрьская улица"
132,14,128,car,8,""
133,50,216,car,13,""
135,51,214,car,25,""
136,51,52,car,30,""
137,52,51,car,30,""
138,52,53,car,73,""
139,53,52,car,73,""
140,53,224,car,52,""
141,54,224,car,2,""
142,54,55,car,30,""
143,55,54,car,30,""
144,55,67,car,47,""
145,56,63,car,35,""
146,56,239,car,8,""
147,57,239,car,51,""
148,57,236,car,3,""
149,58,236,car,25,""
150,58,206,car,41,""
151,59,206,car,54,""
152,59,60,car,34,""
153,60,59,car,34,""
154,60,61,car,114,""
155,61,60,car,114,""
156,61,62,car,34,""
157,62,61,car,34,""
158,62,58,car,22,""
159,58,62,car,22,""
160,63,56,car,35,""
161,63,243,car,5,""
162,63,68,car,40,""
163,64,217,car,61,""
164,64,247,car,38,""
165,65,219,car,4,""
166,66,11,car,220,"Научный переулок"
167,66,104,car,133,"Научный переулок"
168,65,203,car,8,""
169,66,203,car,9,""
170,67,230,car,3,""
171,67,55,car,47,""
172,65,69,car,116,""
173,67,69,car,40,""
174,68,217,car,55,""
175,68,63,car,40,""
176,69,67,car,40,""
177,69,65,car,116,""
178,68,251,car,40,""
179,69,228,car,3,""
180,101,16,car,10,"Институтский переулок"
181,101,13,car,82,"Институтский переулок"
182,100,375,walk,104,""
183,101,150,walk,58,""
184,103,295,car,41,"Институтский переулок"
185,103,16,car,14,"Институтский переулок"
189,104,10,car,12,"Научный переулок"
191,104,66,car,133,"Научный переулок"
193,106,9,car,295,"Улица Жуковского"
195,106,8,car,12,""
196,102,260,walk,343,""
197,106,260,walk,10,""
200,106,257,walk,13,""
201,104,254,walk,7,""
204,104,138,walk,10,""
205,103,130,walk,8,""
206,108,27,car,124,"Улица Павлова"
207,108,2,car,13,"Улица Павлова"
210,109,28,car,122,"Улица Маяковского"
211,110,5,car,14,"Улица Маяковского"
213,111,26,car,120,"Комсомольская улица"
215,111,24,car,15,"Комсомольская улица"
217,113,21,car,14,"Советская улица"
219,113,336,car,65,"Советская улица"
220,103,121,walk,8,""
221,113,265,walk,6,""
224,113,263,walk,7,""
225,111,402,walk,10,""
228,111,397,walk,8,""
229,110,425,walk,7,""
230,110,433,walk,9,""
231,109,463,walk,8,""
232,109,498,walk,5,""
233,108,484,walk,8,""
234,115,6,car,9,"Дирижабельная улица"
238,116,409,car,119,"Комсомольская улица"
240,116,24,car,8,"Комсомольская улица"
241,118,417,car,105,"Улица Маяковского"
242,115,414,walk,13,""
243,118,430,walk,10,""
244,118,392,walk,7,""
245,116,400,walk,7,""
248,116,404,walk,10,""
249,101,387,walk,60,""
253,121,328,walk,59,""
255,121,103,walk,8,""
257,123,350,car,104,"Первомайская улица"
259,123,16,car,8,"Первомайская улица"
260,119,123,walk,10,""
261,123,119,walk,10,""
264,123,121,walk,14,""
265,121,123,walk,14,""
268,121,273,walk,41,""
269,120,292,walk,30,""
270,125,336,car,182,"Советская улица"
271,125,20,car,8,"Советская улица"
272,120,325,walk,38,""
273,125,264,walk,7,""
277,128,216,car,76,""
279,128,14,car,8,""
281,130,103,walk,8,""
283,130,383,walk,37,""
285,132,16,car,8,"Первомайская улица"
287,132,384,car,38,"Первомайская улица"
288,126,132,walk,10,""
289,132,126,walk,10,""
292,132,130,walk,15,""
293,130,132,walk,15,""
296,130,380,walk,70,""
297,128,135,walk,8,""
300,128,127,walk,10,""
301,127,128,walk,10,""
302,127,134,walk,295,""
303,134,127,walk,295,""
304,135,128,walk,8,""
305,135,380,walk,175,""
309,136,296,car,30,"Институтский переулок"
311,136,14,car,8,"Институтский переулок"
312,120,136,walk,6,""
313,136,120,walk,6,""
316,136,135,walk,8,""
317,135,136,walk,8,""
318,138,142,walk,140,""
319,138,104,walk,10,""
320,139,159,walk,23,""
321,139,377,walk,66,""
325,140,144,car,140,"Первомайская улица"
327,140,10,car,10,"Первомайская улица"
328,138,140,walk,11,""
329,140,138,walk,11,""
332,140,139,walk,11,""
333,139,140,walk,11,""
334,142,138,walk,140,""
335,142,379,walk,125,""
336,143,149,walk,52,""
337,143,378,walk,47,""
341,144,140,car,140,"Первомайская улица"
343,144,384,car,147,"Первомайская улица"
344,142,144,walk,12,""
345,144,142,walk,12,""
348,144,143,walk,10,""
349,143,144,walk,10,""
350,86,146,walk,66,"от Новый корпус"
351,146,86,walk,66,"к Новый корпус"
352,146,142,walk,14,""
353,142,146,walk,14,""
354,85,147,walk,57,"от Корпус прикладной математики"
355,147,85,walk,57,"к Корпус прикладной математики"
356,147,146,walk,49,""
357,146,147,walk,49,""
358,146,148,walk,69,""
359,148,146,walk,69,""
360,148,93,walk,22,"к Административный корпус"
361,93,148,walk,22,"от Административный корпус"
362,149,143,walk,52,""
363,149,151,walk,41,""
364,70,149,walk,17,"от Общежитие №2"
365,149,70,walk,17,"к Общежитие №2"
366,150,151,walk,41,""
367,150,101,walk,58,""
368,71,150,walk,15,"от Общежитие №1"
369,150,71,walk,15,"к Общежитие №1"
370,151,150,walk,41,""
371,151,149,walk,41,""
372,151,152,walk,38,""
373,152,151,walk,38,""
374,152,177,walk,62,""
375,153,177,walk,27,""
376,153,126,walk,37,""
377,126,153,walk,37,""
378,153,154,walk,45,""
379,154,153,walk,45,""
381,155,170,walk,54,""
382,155,156,walk,23,""
383,156,155,walk,23,""
384,156,157,walk,67,""
385,157,156,walk,67,""
386,158,159,walk,69,""
387,158,261,walk,86,""
388,157,180,walk,54,""
389,158,180,walk,12,""
390,159,158,walk,69,""
391,159,139,walk,23,""
392,156,186,walk,15,""
393,159,186,walk,50,""
394,160,170,walk,45,""
395,160,164,walk,43,""
396,160,161,walk,45,""
397,161,160,walk,45,""
398,161,162,walk,51,""
399,162,161,walk,51,""
400,162,79,walk,24,"к Общежитие №7"
401,79,162,walk,24,"от Общежитие №7"
402,161,163,walk,44,""
403,163,161,walk,44,""
404,164,160,walk,43,""
406,163,178,walk,25,""
407,164,178,walk,20,""
408,163,143,walk,37,""
409,143,163,walk,37,""
